Item,Category,Quantity,Daily Limit,Available Dates
smartwatch + mini cooler,Common,100,100,2025-10-19
power bank + neckband,Common,100,100,2025-10-19
luggage bags,Common,100,100,2025-10-19
Free pouch and screen guard,Common,10,5,2025-10-19
Dinner Set,Common,20,5,2025-10-19
Earbuds and G.Speaker,Common,10,3,2025-10-19
jio tab,Rare,2,1,2025-10-19
intex home theatre,Rare,4,1,2025-10-19
zebronics home theatre,Rare,6,1,2025-10-19
zebronics astra BT speaker,Rare,9,1,2025-10-19
boult 60w soundbar,Rare,6,1,2025-10-19
pressure cooker,Common,5,1,2025-10-19
