Item,Category,Quantity,Daily Limit,Emoji
luggage bag,Common,10,1,🎁
defy buds + screen guard,Common,10,2,🎁
power bank + neckband,Common,10,2,🎁
dinner set,Common,10,2,🎁
pressure cooker,Common,5,1,🎁
zebronics bt astra speaker,Common,10,1,🎁
SKULL CANDY EARPHONES + SELIE STICK,Common,10,2,🎁
FREE POUCH AND SCREEN GUARD,Common,20,2,🎁
Boat smartwatch,Common,15,2,🎁
MASSAGE GUN,Common,15,2,🎁
JIO TAB,Common,2,1,🎁
INTEX HOME THEATRE,Common,2,1,🎁
ZEBRONICS HOME THEATRE,Common,2,1,🎁
SILVER COIN,Common,1,1,🎁
BOULT 60W SOUNDBAR,Common,2,1,🎁
